,Day,Case_by_time,Death_by_time,recovered_by_time
0,01/01/2021,3,0,3
1,02/01/2021,3,0,3
2,03/01/2021,3,0,3
3,04/01/2021,3,0,3
4,05/01/2021,3,0,3
5,06/01/2021,3,0,3
6,07/01/2021,3,0,3
7,08/01/2021,3,0,3
8,09/01/2021,3,0,3
9,10/01/2021,3,0,3
10,11/01/2021,3,0,3
11,12/01/2021,3,0,3
12,13/01/2021,3,0,3
13,14/01/2021,3,0,3
14,15/01/2021,3,0,3
15,16/01/2021,3,0,3
16,17/01/2021,3,0,3
17,18/01/2021,3,0,3
18,19/01/2021,3,0,3
19,20/01/2021,3,0,3
20,21/01/2021,3,0,3
21,22/01/2021,3,0,3
22,23/01/2021,3,0,3
23,24/01/2021,3,0,3
24,25/01/2021,3,0,3
25,26/01/2021,3,0,3
26,27/01/2021,3,0,3
27,28/01/2021,3,0,3
28,29/01/2021,4,0,3
29,30/01/2021,4,0,3
30,31/01/2021,4,0,3
31,01/02/2021,4,0,3
32,02/02/2021,4,0,3
33,03/02/2021,4,0,3
34,04/02/2021,4,0,3
35,05/02/2021,4,0,3
36,06/02/2021,4,0,3
37,07/02/2021,4,0,3
38,08/02/2021,4,0,3
39,09/02/2021,4,0,3
40,10/02/2021,4,0,3
41,11/02/2021,4,0,3
42,12/02/2021,4,0,3
43,13/02/2021,4,0,3
44,14/02/2021,4,0,3
45,15/02/2021,4,0,3
46,16/02/2021,4,0,3
47,17/02/2021,4,0,3
48,18/02/2021,4,0,3
49,19/02/2021,4,0,3
50,20/02/2021,4,0,3
51,21/02/2021,4,0,3
52,22/02/2021,7,0,3
53,23/02/2021,7,0,3
54,24/02/2021,7,0,3
55,25/02/2021,7,0,3
56,26/02/2021,7,0,3
57,27/02/2021,7,0,3
58,28/02/2021,7,0,4
59,01/03/2021,7,0,4
60,02/03/2021,7,0,4
61,03/03/2021,7,0,4
62,04/03/2021,7,0,4
63,05/03/2021,7,0,4
64,06/03/2021,7,0,4
65,07/03/2021,7,0,4
66,08/03/2021,7,0,4
67,09/03/2021,7,0,4
68,10/03/2021,7,0,4
69,11/03/2021,7,0,4
70,12/03/2021,7,0,4
71,13/03/2021,7,0,4
72,14/03/2021,7,0,4
73,15/03/2021,7,0,4
74,16/03/2021,7,0,4
75,17/03/2021,7,0,4
76,18/03/2021,7,0,4
77,19/03/2021,7,0,4
78,20/03/2021,7,0,4
79,21/03/2021,7,0,4
80,22/03/2021,7,0,4
81,23/03/2021,7,0,4
82,24/03/2021,7,0,4
83,25/03/2021,7,0,4
84,26/03/2021,9,0,4
85,27/03/2021,9,0,4
86,28/03/2021,9,0,4
87,29/03/2021,9,0,4
88,30/03/2021,9,0,4
89,31/03/2021,9,0,4
90,01/04/2021,9,0,4
91,02/04/2021,9,0,4
92,03/04/2021,9,0,4
93,04/04/2021,9,0,4
94,05/04/2021,9,0,4
95,06/04/2021,9,0,4
96,07/04/2021,9,0,4
97,08/04/2021,9,0,4
98,09/04/2021,9,0,4
99,10/04/2021,9,0,4
100,11/04/2021,9,0,4
101,12/04/2021,9,0,4
102,13/04/2021,9,0,4
103,14/04/2021,9,0,4
104,15/04/2021,9,0,4
105,16/04/2021,9,0,6
106,17/04/2021,9,0,6
107,18/04/2021,9,0,6
108,19/04/2021,9,0,6
109,20/04/2021,9,0,6
110,21/04/2021,9,0,6
111,22/04/2021,9,0,6
112,23/04/2021,9,0,6
113,24/04/2021,9,0,6
114,25/04/2021,9,0,6
115,26/04/2021,9,0,6
116,27/04/2021,9,0,6
117,28/04/2021,9,0,6
118,29/04/2021,9,0,6
119,30/04/2021,9,0,6
120,01/05/2021,9,0,6
121,02/05/2021,9,0,6
122,03/05/2021,9,0,7
123,04/05/2021,9,0,7
124,05/05/2021,9,0,7
