,Day,Case_by_time,Death_by_time,recovered_by_time
0,01/01/2021,150,0,144
1,02/01/2021,150,0,144
2,03/01/2021,150,0,144
3,04/01/2021,152,0,144
4,05/01/2021,153,0,144
5,06/01/2021,153,0,144
6,07/01/2021,153,0,144
7,08/01/2021,153,0,144
8,09/01/2021,153,0,144
9,10/01/2021,153,0,144
10,11/01/2021,154,0,144
11,12/01/2021,154,0,144
12,13/01/2021,154,0,144
13,14/01/2021,156,0,144
14,15/01/2021,158,0,146
15,16/01/2021,158,0,146
16,17/01/2021,158,0,146
17,18/01/2021,158,0,148
18,19/01/2021,158,0,148
19,20/01/2021,162,0,148
20,21/01/2021,162,0,149
21,22/01/2021,163,0,149
22,23/01/2021,163,0,149
23,24/01/2021,163,0,149
24,25/01/2021,163,0,150
25,26/01/2021,165,0,152
26,27/01/2021,165,0,152
27,28/01/2021,166,0,152
28,29/01/2021,166,0,153
29,30/01/2021,168,0,153
30,31/01/2021,168,0,153
31,01/02/2021,169,0,155
32,02/02/2021,169,0,155
33,03/02/2021,169,0,155
34,04/02/2021,169,0,155
35,05/02/2021,169,0,155
36,06/02/2021,170,0,155
37,07/02/2021,170,0,156
38,08/02/2021,199,0,156
39,09/02/2021,203,0,157
40,10/02/2021,205,0,162
41,11/02/2021,205,0,162
42,12/02/2021,205,0,163
43,13/02/2021,211,0,163
44,14/02/2021,211,0,163
45,15/02/2021,211,0,166
46,16/02/2021,211,0,166
47,17/02/2021,211,0,166
48,18/02/2021,211,0,168
49,19/02/2021,211,0,168
50,20/02/2021,211,0,168
51,21/02/2021,211,0,168
52,22/02/2021,211,0,168
53,23/02/2021,211,0,168
54,24/02/2021,211,0,194
55,25/02/2021,211,0,195
56,26/02/2021,211,0,196
57,27/02/2021,211,0,200
58,28/02/2021,211,0,200
59,01/03/2021,211,0,203
60,02/03/2021,211,0,203
61,03/03/2021,211,0,203
62,04/03/2021,211,0,205
63,05/03/2021,211,0,205
64,06/03/2021,211,0,205
65,07/03/2021,211,0,205
66,08/03/2021,214,0,205
67,09/03/2021,214,0,208
68,10/03/2021,215,0,208
69,11/03/2021,215,0,208
70,12/03/2021,215,0,209
71,13/03/2021,215,0,209
72,14/03/2021,216,0,209
73,15/03/2021,216,0,210
74,16/03/2021,216,0,210
75,17/03/2021,216,0,210
76,18/03/2021,216,0,210
77,19/03/2021,217,0,210
78,20/03/2021,217,0,210
79,21/03/2021,217,0,210
80,22/03/2021,218,0,210
81,23/03/2021,218,0,211
82,24/03/2021,218,0,211
83,25/03/2021,219,0,211
84,26/03/2021,220,0,211
85,27/03/2021,220,0,211
86,28/03/2021,220,0,211
87,29/03/2021,221,0,211
88,30/03/2021,221,0,211
89,31/03/2021,221,0,211
90,01/04/2021,221,0,211
91,02/04/2021,222,0,211
92,03/04/2021,222,0,211
93,04/04/2021,222,0,211
94,05/04/2021,223,0,213
95,06/04/2021,223,0,214
96,07/04/2021,225,0,214
97,08/04/2021,228,0,214
98,09/04/2021,229,0,214
99,10/04/2021,229,0,214
100,11/04/2021,229,0,214
101,12/04/2021,231,0,217
102,13/04/2021,233,0,217
103,14/04/2021,236,0,217
104,15/04/2021,241,0,217
105,16/04/2021,245,0,220
106,17/04/2021,245,0,220
107,18/04/2021,245,0,220
108,19/04/2021,248,0,220
109,20/04/2021,248,0,220
110,21/04/2021,248,0,220
111,22/04/2021,248,0,220
112,23/04/2021,254,0,220
113,24/04/2021,254,0,224
114,25/04/2021,254,0,224
115,26/04/2021,257,0,224
116,27/04/2021,257,0,224
117,28/04/2021,257,0,224
118,29/04/2021,258,0,224
119,30/04/2021,260,0,224
120,01/05/2021,263,0,234
121,02/05/2021,263,0,234
122,03/05/2021,263,0,235
123,04/05/2021,266,0,235
124,05/05/2021,267,0,235
125,06/05/2021,267,0,235
126,07/05/2021,269,0,235
127,08/05/2021,270,0,242
128,09/05/2021,270,0,242
129,10/05/2021,270,0,245
130,11/05/2021,273,0,245
131,12/05/2021,273,0,245
132,13/05/2021,273,0,250
133,14/05/2021,273,0,250
134,15/05/2021,273,0,252
135,16/05/2021,273,0,252
136,17/05/2021,273,0,252
137,18/05/2021,273,0,256
138,19/05/2021,275,0,256
139,20/05/2021,279,0,257
140,21/05/2021,279,0,257
141,22/05/2021,279,0,262
142,23/05/2021,279,0,262
143,24/05/2021,280,0,262
144,25/05/2021,281,0,262
145,26/05/2021,281,0,262
146,27/05/2021,317,0,262
147,28/05/2021,317,0,262
148,29/05/2021,371,0,262
149,30/05/2021,430,0,268
150,31/05/2021,430,0,269
151,01/06/2021,500,0,269
152,02/06/2021,533,1,269
153,03/06/2021,566,1,269
154,04/06/2021,592,1,269
155,05/06/2021,623,1,269
156,06/06/2021,654,1,269
157,07/06/2021,734,1,270
158,08/06/2021,757,1,270
159,09/06/2021,811,1,271
160,10/06/2021,872,1,271
161,11/06/2021,920,1,276
162,12/06/2021,2184,3,333
163,13/06/2021,2184,1,333
164,14/06/2021,2184,1,333
165,15/06/2021,2184,1,333
166,16/06/2021,2184,1,333
167,17/06/2021,2184,1,333
168,18/06/2021,2184,1,333
169,19/06/2021,2184,1,333
170,20/06/2021,2184,1,333
171,21/06/2021,2184,3,333
172,22/06/2021,2184,3,333
173,23/06/2021,2338,3,333
174,24/06/2021,2503,3,333
175,25/06/2021,2729,5,358
176,26/06/2021,3351,5,361
177,27/06/2021,3456,7,364
178,28/06/2021,3770,7,384
179,29/06/2021,3882,10,401
180,30/06/2021,4174,11,411
181,01/07/2021,4485,11,479
182,02/07/2021,4903,13,488
183,03/07/2021,5268,13,518
184,04/07/2021,5268,13,522
185,05/07/2021,6375,14,603
186,06/07/2021,6375,16,603
187,07/07/2021,7455,16,603
188,08/07/2021,7455,21,603
189,09/07/2021,7455,21,603
190,10/07/2021,8684,21,603
191,11/07/2021,8684,21,603
192,12/07/2021,11519,21,629
193,13/07/2021,13142,21,629
194,14/07/2021,14042,31,669
195,15/07/2021,14667,103,669
196,16/07/2021,20238,109,692
197,17/07/2021,22007,109,692
198,18/07/2021,24325,129,692
199,19/07/2021,24325,129,692
200,20/07/2021,34336,122,692
201,21/07/2021,34336,122,692
202,22/07/2021,34336,122,692
203,23/07/2021,50193,232,692
204,24/07/2021,55589,232,692
205,25/07/2021,60144,232,692
206,26/07/2021,66141,361,692
207,27/07/2021,72459,361,692
208,28/07/2021,76908,452,692
209,29/07/2021,81500,641,692
210,30/07/2021,85782,900,692
211,31/07/2021,89962,989,692
212,01/08/2021,94031,989,692
213,02/08/2021,98295,1343,692
214,03/08/2021,102466,1674,692
215,04/08/2021,105766,1891,692
216,05/08/2021,109652,2105,692
217,06/08/2021,113712,2324,692
218,07/08/2021,117642,2324,692
219,08/08/2021,121540,2744,692
220,09/08/2021,125533,3013,692
221,10/08/2021,129490,3321,692
222,11/08/2021,132906,3582,692
223,12/08/2021,136756,3807,692
224,13/08/2021,140288,4030,692
225,14/08/2021,144519,4315,692
226,15/08/2021,149035,4597,692
227,16/08/2021,152376,4912,692
228,17/08/2021,155941,5197,692
229,18/08/2021,159674,5452,692
230,19/08/2021,164099,5759,692
231,20/08/2021,167476,6071,692
232,21/08/2021,171581,6071,692
233,22/08/2021,175994,6670,692
234,23/08/2021,180245,7010,692
235,24/08/2021,184879,7302,692
236,25/08/2021,190174,7568,692
237,26/08/2021,194108,7810,692
238,27/08/2021,199492,8097,692
239,28/08/2021,204973,8368,692
240,29/08/2021,209932,8624,692
241,30/08/2021,215821,8869,692
242,31/08/2021,221268,8869,692
243,01/09/2021,226636,9527,692
244,02/09/2021,232600,9724,692
245,03/09/2021,241110,9974,692
246,04/09/2021,245708,10230,692
247,05/09/2021,251934,10452,692
248,06/09/2021,259056,10685,692
249,07/09/2021,266366,10938,692
250,08/09/2021,273674,11206,692
251,09/09/2021,279223,11409,692
252,10/09/2021,286762,11604,692
253,11/09/2021,292391,11792,692
254,12/09/2021,298549,11992,692
255,13/09/2021,303995,12220,692
256,14/09/2021,310307,12419,692
257,15/09/2021,315608,12608,692
258,16/09/2021,321343,12768,692
259,17/09/2021,327315,12934,692
260,18/09/2021,331552,13099,692
